standard_scene	dataset_label	dataset
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		

outdoor	park	Dcase2018
outdoor	public_square	Dcase2018
outdoor	street_pedestrian	Dcase2018
outdoor	street_traffic	Dcase2018
outdoor	ResidentialArea	CochlScene
outdoor	Street	CochlScene
outdoor	Park	CochlScene
outdoor	Public square	Cas2023
outdoor	Urban park	Cas2023
outdoor	Traffic street	Cas2023
outdoor	Construction site	Cas2023
outdoor	market	LitisRouen
outdoor	busystreet	LitisRouen
outdoor	ruepietonne	LitisRouen
outdoor	quietstreet	LitisRouen
		
		
		
		
		
		
urban/manmade	public_square	Dcase2018
urban/manmade	street_pedestrian	Dcase2018
urban/manmade	street_traffic	Dcase2018
urban/manmade	ResidentialArea	CochlScene
urban/manmade	Street	CochlScene
urban/manmade	Public square	Cas2023
urban/manmade	Traffic street	Cas2023
urban/manmade	Construction site	Cas2023
urban/manmade	market	LitisRouen
urban/manmade	busystreet	LitisRouen
urban/manmade	ruepietonne	LitisRouen
urban/manmade	quietstreet	LitisRouen
		
		
		
		
		
construction_site	Construction site	Cas2023
		
		
		
		
street	street_traffic	Dcase2018
street	Street	CochlScene
street	Traffic street	Cas2023
street	busystreet	LitisRouen
street	ruepietonne	LitisRouen
street	quietstreet	LitisRouen
		
pedestrian_street_or_square	street_pedestrian	Dcase2018
pedestrian_street_or_square	public_square	Dcase2018
pedestrian_street_or_square	Public square	Cas2023
pedestrian_street_or_square	ruepietonne	LitisRouen
		
busy_street	Traffic street	Cas2023
busy_street	street_traffic	Dcase2018
busy_street	busystreet	LitisRouen
		
		
quiet_street	quietstreet	LitisRouen
		
		
		
residential_area	ResidentialArea	CochlScene
		
open-air_market	market	LitisRouen
		
		
		
rural/natural	park	Dcase2018
rural/natural	Park	CochlScene
rural/natural	Urban park	Cas2023
		
		
park	park	Dcase2018
park	Park	CochlScene
park	Urban park	Cas2023
		
		
		
indoor	airport	Dcase2018
indoor	bus	Dcase2018
indoor	metro	Dcase2018
indoor	tram	Dcase2018
indoor	metro_station	Dcase2018
indoor	shopping_mall	Dcase2018
indoor	Kitchen	CochlScene
indoor	Restaurant	CochlScene
indoor	Restroom	CochlScene
indoor	SubwayStation	CochlScene
indoor	Subway	CochlScene
indoor	Elevator	CochlScene
indoor	Cafe	CochlScene
indoor	Car	CochlScene
indoor	CrowdedIndoor	CochlScene
indoor	Bus	CochlScene
indoor	Airport	Cas2023
indoor	Metro	Cas2023
indoor	Bus	Cas2023
indoor	Restaurant	Cas2023
indoor	Shopping mall	Cas2023
indoor	Bar	Cas2023
indoor	library	Arte
indoor	cafe	Arte
indoor	food_court	Arte
indoor	office	Arte
indoor	living_room	Arte
indoor	train_station	Arte
indoor	street_balcony	Arte
indoor	dinner_party	Arte
indoor	hallgare	LitisRouen
indoor	metro-rouen	LitisRouen
indoor	car	LitisRouen
indoor	shop	LitisRouen
indoor	bus	LitisRouen
indoor	train-ter	LitisRouen
indoor	poolhall	LitisRouen
indoor	train-tgv	LitisRouen
indoor	kidgame	LitisRouen
indoor	metro-paris	LitisRouen
indoor	restaurant	LitisRouen
indoor	tubestation	LitisRouen
indoor	cafe	LitisRouen
