standard_scene	dataset_label	dataset
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
outdoor	beach	TutAcousticScenes2017
outdoor	city_center	TutAcousticScenes2017
outdoor	forest_path	TutAcousticScenes2017
outdoor	park	TutAcousticScenes2017
outdoor	residential_area	TutAcousticScenes2017
outdoor	park	Dcase2018
outdoor	public_square	Dcase2018
outdoor	street_pedestrian	Dcase2018
outdoor	street_traffic	Dcase2018
outdoor	park	TauUas2020MobileDevelopment
outdoor	park	TauUas2019OpensetDevelopment
outdoor	public_square	TauUas2020MobileDevelopment
outdoor	public_square	TauUas2019OpensetDevelopment
outdoor	street_pedestrian	TauUas2020MobileDevelopment
outdoor	street_pedestrian	TauUas2019OpensetDevelopment
outdoor	street_traffic	TauUas2020MobileDevelopment
outdoor	street_traffic	TauUas2019OpensetDevelopment
outdoor	beach	TUTAcousticScenes2017Development
outdoor	city_center	TUTAcousticScenes2017Development
outdoor	forest_path	TUTAcousticScenes2017Development
outdoor	park	TUTAcousticScenes2017Development
outdoor	residential_area	TUTAcousticScenes2017Development
outdoor	busystreet	IEEAASPPublic
outdoor	openairmarket	IEEAASPPublic
outdoor	park	IEEAASPPublic
outdoor	quietstreet	IEEAASPPublic
outdoor	ResidentialArea	CochlScene
outdoor	Street	CochlScene
outdoor	Park	CochlScene
outdoor	Public square	Cas2023
outdoor	Urban park	Cas2023
outdoor	Traffic street	Cas2023
outdoor	Construction site	Cas2023
outdoor	street	AudibleBackgrounds
outdoor	beach	AudibleBackgrounds
outdoor	open_market	IEEAASPPublic
outdoor	park	AudibleBackgrounds
outdoor	lakeside	AudibleBackgrounds
outdoor	street_pedestrian	AudibleBackgrounds
outdoor	residential_area	AudibleBackgrounds
outdoor	park	Archeo
outdoor	residential_area	Archeo
outdoor	open-air_market	Archeo
outdoor	park	JointSoundSceneAndEvent
outdoor	busystreet	JointSoundSceneAndEvent
outdoor	openairmarket	JointSoundSceneAndEvent
outdoor	quietstreet	JointSoundSceneAndEvent
outdoor	street	SPASS
outdoor	park	SPASS
outdoor	waterfront	SPASS
outdoor	square	SPASS
outdoor	market	SPASS
outdoor	market	LitisRouen
outdoor	busystreet	LitisRouen
outdoor	ruepietonne	LitisRouen
outdoor	quietstreet	LitisRouen
outdoor	farm	OpenWindow
		
		
		
		
		
		
urban/manmade	city_center	TUTAcousticScenes2017Development
urban/manmade	public_square	TauUas2020MobileDevelopment
urban/manmade	public_square	TauUas2019OpensetDevelopment
urban/manmade	city_center	TutAcousticScenes2017
urban/manmade	residential_area	TutAcousticScenes2017
urban/manmade	public_square	Dcase2018
urban/manmade	street_pedestrian	Dcase2018
urban/manmade	street_traffic	Dcase2018
urban/manmade	street_pedestrian	TauUas2020MobileDevelopment
urban/manmade	street_pedestrian	TauUas2019OpensetDevelopment
urban/manmade	street_traffic	TauUas2020MobileDevelopment
urban/manmade	street_traffic	TauUas2019OpensetDevelopment
urban/manmade	residential_area	TUTAcousticScenes2017Development
urban/manmade	busystreet	IEEAASPPublic
urban/manmade	openairmarket	IEEAASPPublic
urban/manmade	quietstreet	IEEAASPPublic
urban/manmade	ResidentialArea	CochlScene
urban/manmade	Street	CochlScene
